COUNTY_NAME,POPULATION,STATE
"CRAIG COUNTY, OK",15029,OK
"CREEK COUNTY, OK",69967,OK
"CUSTER COUNTY, OK",27469,OK
"DELAWARE COUNTY, OK",41487,OK
"DEWEY COUNTY, OK",4810,OK
"ELLIS COUNTY, OK",4151,OK
"GARFIELD COUNTY, OK",60580,OK
"GARVIN COUNTY, OK",27576,OK
"GRADY COUNTY, OK",52431,OK
"GRANT COUNTY, OK",4527,OK
"GREER COUNTY, OK",6239,OK
"HARMON COUNTY, OK",2922,OK
"HARPER COUNTY, OK",3685,OK
"HASKELL COUNTY, OK",12769,OK
"HUGHES COUNTY, OK",14003,OK
"JACKSON COUNTY, OK",26446,OK
"JEFFERSON COUNTY, OK",6472,OK
"JOHNSTON COUNTY, OK",10957,OK
"KAY COUNTY, OK",46562,OK
"KINGFISHER COUNTY, OK",15034,OK
"KIOWA COUNTY, OK",9446,OK
"LATIMER COUNTY, OK",11154,OK
"LE FLORE COUNTY, OK",50384,OK
"LINCOLN COUNTY, OK",34273,OK
"LOGAN COUNTY, OK",41848,OK
"LOVE COUNTY, OK",9423,OK
"MCCLAIN COUNTY, OK",34506,OK
"MCCURTAIN COUNTY, OK",33151,OK
"MCINTOSH COUNTY, OK",20252,OK
"MAJOR COUNTY, OK",7527,OK
"MARSHALL COUNTY, OK",15840,OK
"MAYES COUNTY, OK",41259,OK
"MURRAY COUNTY, OK",13488,OK
"MUSKOGEE COUNTY, OK",70990,OK
"NOBLE COUNTY, OK",11561,OK
"NOWATA COUNTY, OK",10536,OK
